"","CAMIS","DBA","INSPECTION.DATE","GRADE","INSPECTION.TYPE","SCORE"
"2830","40940283","STARBUCKS #7860","06/08/2018","A","Cycle Inspection / Re-inspection",2
"2831","40940996","DOMINO'S","05/23/2018","A","Cycle Inspection / Initial Inspection",4
"2832","40941045","MARIO'S RESTAURANT","03/19/2019","A","Cycle Inspection / Initial Inspection",10
"2833","40941224","SOMOON","07/28/2017","A","Cycle Inspection / Initial Inspection",7
"2834","40941320","TAAM MEVORACH","05/08/2018","A","Cycle Inspection / Initial Inspection",13
"2835","40941619","DOMINO'S","07/18/2018","A","Cycle Inspection / Initial Inspection",5
"2836","40941849","LA GRAN VIA BAKERY","01/08/2019","A","Cycle Inspection / Initial Inspection",13
"2837","40942069","CASSIDY'S PUB","01/24/2019","A","Cycle Inspection / Initial Inspection",11
"2838","40942152","CROTON RESERVOIR TAVERN","01/09/2019","A","Cycle Inspection / Initial Inspection",10
"2839","40942342","LARRY FLYNT'S HUSTLER CLUB","09/20/2018","A","Cycle Inspection / Re-inspection",7
"2840","40942438","SKY TERRACE BAR","08/10/2017","A","Cycle Inspection / Initial Inspection",12
"2841","40942443","LIBRARY BAR","12/20/2018","B","Cycle Inspection / Re-inspection",26
"2842","40942444","HUDSON BAR","09/06/2018","B","Cycle Inspection / Re-inspection",26
"2843","40942485","107 WEST RESTAURANT","05/01/2018","A","Cycle Inspection / Initial Inspection",12
"2844","40942949","SNACK TAVERNA","10/17/2018","A","Cycle Inspection / Initial Inspection",10
"2845","40943082","CHUCK E. CHEESE'S","09/24/2018","A","Cycle Inspection / Initial Inspection",11
"2846","40943103","NEW YORK UNIVERSITY - KIMMEL STUDENT CENTER CAFETERIA","05/03/2018","A","Cycle Inspection / Initial Inspection",9
"2847","40943105","NEW YORK UNIVERSITY - KIMMEL STUDENT CENTER (CATERING KITCHEN)","11/19/2018","A","Cycle Inspection / Initial Inspection",11
"2848","40943174","MAX  CAFFE","04/05/2018","A","Cycle Inspection / Initial Inspection",10
"2849","40943306","BEST-BITES RESTAURANT & BAKERY","10/16/2018","A","Cycle Inspection / Initial Inspection",11
"2850","40943583","THE PRESS BOX","12/11/2018","A","Cycle Inspection / Re-inspection",10
"2851","40943615","OTTO'S SHRUNKEN HEAD","02/28/2018","A","Cycle Inspection / Initial Inspection",12
"2852","40943621","REDD'S","01/10/2018","A","Cycle Inspection / Initial Inspection",7
"2853","40943754","PRINTON 56","06/15/2018","A","Cycle Inspection / Initial Inspection",13
"2854","40944072","SUPERFINE","06/07/2018","A","Cycle Inspection / Initial Inspection",12
"2855","40944804","BLAGGARD'S PUB","03/20/2019",NA,"Cycle Inspection / Initial Inspection",13
"2856","40944872","40/40 CLUB","03/03/2018","A","Cycle Inspection / Re-inspection",9
"2857","40944945","Stage 42","09/19/2018","A","Cycle Inspection / Initial Inspection",10
"2858","40945123","FRANK'S PIZZA","04/10/2019","A","Cycle Inspection / Initial Inspection",10
"2859","40945190","3 SISTERS' & SHANTA'S RESTAURANT & BAKERY","01/26/2019","C","Cycle Inspection / Re-inspection",52
"2860","40945325","POPEYES LOUISIANA KITCHEN","06/01/2018","A","Cycle Inspection / Initial Inspection",7
"2861","40945328","TONY'S PIZZA SPOT","03/14/2019","A","Cycle Inspection / Initial Inspection",7
"2862","40945643","STARBUCKS","12/07/2018","A","Cycle Inspection / Re-inspection",3
"2863","40945691","SANTA FE GRILL & BAR","05/01/2018","A","Cycle Inspection / Initial Inspection",8
"2864","40945892","EUROPA CAFE","11/23/2018","A","Cycle Inspection / Re-inspection",7
"2865","40945916","CALIBELLA BAKERY","01/31/2019","A","Cycle Inspection / Initial Inspection",12
"2866","40946043","KAM TUNG RESTAURANT","04/09/2018","A","Cycle Inspection / Initial Inspection",13
"2867","40946298","JOY CURRY & TANDOOR","01/09/2019","A","Cycle Inspection / Initial Inspection",9
"2868","40946369","NICK & STEF'S STEAKHOUSE","04/12/2019","A","Cycle Inspection / Initial Inspection",5
"2869","40946403","STARBUCKS","11/01/2018","A","Cycle Inspection / Initial Inspection",2
"2870","40946406","STARBUCKS","02/14/2019","A","Cycle Inspection / Initial Inspection",8
"2871","40946431","MCDONALD'S","05/14/2018","A","Cycle Inspection / Initial Inspection",10
"2872","40946956","B-SIDE","04/01/2019","A","Cycle Inspection / Initial Inspection",9
"2873","40946989","PAMPANO","12/12/2017","A","Cycle Inspection / Initial Inspection",4
"2874","40947038","POPEYES","02/07/2019","A","Cycle Inspection / Initial Inspection",5
"2875","40947076","MILL BASIN BAGEL CAFE","11/20/2018","A","Cycle Inspection / Initial Inspection",13
"2876","40947395","EUROPEAN BAR","02/09/2019","A","Cycle Inspection / Initial Inspection",7
"2877","40947919","DOS CAMINOS SOHO","11/14/2018","A","Cycle Inspection / Initial Inspection",13
"2878","40947943","WORLDS FAIR MARINA RESTAURANT & BANQUET","07/09/2018","A","Cycle Inspection / Re-inspection",12
"2879","40947971","K & Q RESTARUANT","11/13/2018","A","Cycle Inspection / Initial Inspection",3
"2880","40948100","BLUE SKY BAKERY","01/08/2019","A","Cycle Inspection / Initial Inspection",7
"2881","40948362","FRANCHIA","12/06/2018","A","Cycle Inspection / Re-inspection",9
"2882","40948382","NEW COUNTRY HOUSE","01/15/2019","A","Cycle Inspection / Initial Inspection",2
"2883","40948401","EUROPA BAKERY & PASTRY SHOP","10/04/2018","A","Cycle Inspection / Initial Inspection",8
"2884","40948509","GOLDEN KRUST CARIBBEAN BAKERY & GRILL","04/05/2019","A","Cycle Inspection / Initial Inspection",7
"2885","40948592","NATIONAL GRID","04/15/2019","A","Cycle Inspection / Initial Inspection",9
"2886","40948625","SUMMER GARDEN","08/20/2018","A","Cycle Inspection / Initial Inspection",0
"2887","40948723","PAQUITO'S","04/01/2019","A","Cycle Inspection / Re-inspection",11
"2888","40948868","SALERNO PASTRY CAFE","12/07/2018","A","Cycle Inspection / Initial Inspection",5
"2889","40949396","ROCK CENTER CAFE","05/23/2018","A","Cycle Inspection / Initial Inspection",3
"2890","40949441","THE SEA GRILL","03/29/2019","A","Cycle Inspection / Re-inspection",5
"2891","40949448","BRASSERIE 8 1/2","01/09/2019","A","Cycle Inspection / Initial Inspection",11
"2892","40949455","NAPLES 45 RESTAURANT","07/16/2018","A","Cycle Inspection / Initial Inspection",7
"2893","40949462","CUCINA & COMPANY","03/23/2018","A","Cycle Inspection / Initial Inspection",7
"2894","40949516","BAMBOO EXPRESS RESTAURANT & BAKERY","07/25/2018","B","Cycle Inspection / Re-inspection",18
"2895","40949521","CAFE CENTRO","04/04/2018","A","Cycle Inspection / Initial Inspection",11
"2896","40949604","CHEESY PIZZA","11/14/2018","A","Cycle Inspection / Initial Inspection",7
"2897","40949680","SPARTAN SOUVLAKI","08/01/2018","B","Cycle Inspection / Re-inspection",17
"2898","40949724","DOMINO'S","04/01/2019","A","Cycle Inspection / Initial Inspection",9
"2899","40949905","KA WAH BAKERY","03/14/2019","A","Cycle Inspection / Initial Inspection",11
"2900","40950193","JOE'S BAR & GRILL","10/30/2018","A","Cycle Inspection / Initial Inspection",10
"2901","40950278","SEVEN COFFEE SHOP","10/18/2018","A","Cycle Inspection / Initial Inspection",2
"2902","40950392","TOMMY'S TAVERN","04/03/2018","B","Cycle Inspection / Re-inspection",22
"2903","40950399","POLLOS A LA BRASA MARIO","03/07/2019","A","Cycle Inspection / Initial Inspection",12
"2904","40950465","KAHLUA'S CAFE & RESTAURANT","02/28/2019","A","Cycle Inspection / Initial Inspection",10
"2905","40950504","EATA PITA","01/04/2019","A","Cycle Inspection / Initial Inspection",2
"2906","40950544","LE PAIN QUOTIDIEN","02/22/2019","A","Cycle Inspection / Initial Inspection",4
"2907","40951165","MOONCAKE FOODS","10/22/2018","A","Cycle Inspection / Initial Inspection",11
"2908","40951329","TAKAHACHI TRIBECA","12/10/2018","A","Cycle Inspection / Re-inspection",9
"2909","40951528","BAGELICIOUS","05/24/2018","A","Cycle Inspection / Initial Inspection",12
"2910","40951864","FULTON AVE CAFE","01/03/2019","A","Cycle Inspection / Re-inspection",11
"2911","40951870","THERAPY","04/03/2018","A","Cycle Inspection / Initial Inspection",10
"2912","40951884","GUY & GALLARD","02/27/2019","A","Cycle Inspection / Initial Inspection",11
"2913","40951896","STARBUCKS","03/21/2018","A","Cycle Inspection / Initial Inspection",8
"2914","40951901","STARBUCKS","05/21/2018","A","Cycle Inspection / Initial Inspection",5
"2915","40952129","LA VILLA","11/21/2018","A","Cycle Inspection / Re-inspection",8
"2916","40952198","EMACK & BOLIO'S","06/21/2018","A","Cycle Inspection / Initial Inspection",5
"2917","40952254","DUNKIN' DONUTS BASKIN ROBBINS","02/14/2019","A","Cycle Inspection / Initial Inspection",12
"2918","40953735","CUCINA AND CO.","09/21/2018","A","Cycle Inspection / Initial Inspection",9
"2919","40954215","AGNANTI RESTAURANT","05/10/2018","A","Cycle Inspection / Initial Inspection",6
"2920","40954549","IMMACULEE BAKERY","06/13/2018","A","Cycle Inspection / Initial Inspection",9
"2921","40954991","STAR ON 18TH DINER CAFE","02/15/2019","A","Cycle Inspection / Re-inspection",7
"2922","40955456","THE MERCER SUBMERCER","03/16/2019","A","Cycle Inspection / Initial Inspection",2
"2923","40955649","KOBRICK COFFEE CO.","02/25/2019","A","Cycle Inspection / Initial Inspection",9
"2924","40956001","UMI SUSHI JAPANESE CUISINE","12/19/2018","B","Cycle Inspection / Re-inspection",17
"2925","40956188","BAGELS ON THE LANE","10/31/2018","A","Cycle Inspection / Initial Inspection",11
"2926","40956726","EAST MEETS WEST","02/26/2019","A","Cycle Inspection / Initial Inspection",13
"2927","40957398","KUMA INN","03/29/2019","A","Cycle Inspection / Initial Inspection",11
"2928","40957421","RARE BAR & GRILL","04/11/2018","A","Cycle Inspection / Initial Inspection",10
"2929","40957726","JOE","08/07/2018","A","Cycle Inspection / Initial Inspection",10
"2930","40957772","NURSE BETTIE","12/11/2018","A","Cycle Inspection / Initial Inspection",12
"2931","40957903","STARBUCKS","05/02/2018","A","Cycle Inspection / Initial Inspection",12
"2932","40958032","SUBWAY","09/28/2018","A","Cycle Inspection / Initial Inspection",11
"2933","40958104","THE DOOR","03/28/2019","A","Cycle Inspection / Re-inspection",8
"2934","40958136","SIX BLOCKS BAKERY CAFE","06/06/2018","A","Cycle Inspection / Initial Inspection",11
"2935","40958138","BOWERY BAY TAVERN","05/31/2018","A","Cycle Inspection / Initial Inspection",12
"2936","40958170","SOHO HOUSE","02/26/2019","A","Cycle Inspection / Initial Inspection",13
"2937","40958354","DELMAR PIZZERIA","11/28/2018","A","Cycle Inspection / Re-inspection",2
"2938","40958613","CITY DINER","06/20/2018","A","Cycle Inspection / Initial Inspection",10
"2939","40958954","ELENA-43- RESTAURANT","02/14/2019","A","Cycle Inspection / Re-inspection",12
"2940","40959012","CARVEL ICE CREAM","12/10/2018","A","Cycle Inspection / Initial Inspection",12
"2941","40959046","BAR 13","10/19/2018","A","Cycle Inspection / Initial Inspection",12
"2942","40959121","TEMPEST BAR","10/29/2018","A","Cycle Inspection / Initial Inspection",8
"2943","40959339","FRATELLI'S MARKET PLACE","02/07/2019","A","Cycle Inspection / Initial Inspection",7
"2944","40959591","BA XUYEN","12/24/2018","A","Cycle Inspection / Re-inspection",7
"2945","40959634","SPUYTEN DUYVIL","04/20/2018","A","Cycle Inspection / Initial Inspection",2
"2946","40959649","HALE & HEARTY SOUP","04/02/2019","A","Cycle Inspection / Initial Inspection",2
"2947","40960698","SCORPION","05/10/2018","A","Cycle Inspection / Initial Inspection",2
"2948","40961218","METROPOLITAN MUSEUM OF ART","06/22/2018","A","Cycle Inspection / Initial Inspection",2
"2949","40961447","MESON SEVILLA RESTAURANT","09/13/2018","A","Cycle Inspection / Re-inspection",12
"2950","40961549","POPEYES LOUISIANA KITCHEN","10/10/2018","A","Cycle Inspection / Initial Inspection",2
"2951","40961620","JK BAKERY","04/02/2018","A","Cycle Inspection / Initial Inspection",13
"2952","40961653","FLOR DE MAYO RESTAURANT","04/02/2019","Z","Cycle Inspection / Reopening Inspection",2
"2953","40962072","RARYTAS MANOR","05/10/2018","A","Cycle Inspection / Initial Inspection",11
"2954","40962159","CAFE MILANO","08/22/2018","A","Cycle Inspection / Initial Inspection",8
"2955","40962170","SUBWAY","04/03/2019","A","Cycle Inspection / Initial Inspection",7
"2956","40962335","THE SOUL SPOT","12/31/2018","B","Cycle Inspection / Re-inspection",17
"2957","40962966","JADE LINDEN RESTAURANT","08/01/2018","A","Cycle Inspection / Initial Inspection",10
"2958","40963082","CLEM'S","08/13/2018","A","Cycle Inspection / Initial Inspection",10
"2959","40963282","TIPICO DOMINICANO RESTAURANT","03/18/2019","A","Cycle Inspection / Initial Inspection",12
"2960","40964100","EL REY DE LOS TACOS","09/13/2018","A","Cycle Inspection / Initial Inspection",9
"2961","40964282","BUTTERMILK BAR","01/03/2019","A","Cycle Inspection / Initial Inspection",9
"2962","40964289","BOAT BAR","01/09/2019",NA,"Cycle Inspection / Initial Inspection",7
"2963","40964716","OLD CARRIAGE INN","01/08/2019","A","Cycle Inspection / Initial Inspection",7
"2964","40965047","KINGS COUNTY CAFETERIA","05/24/2018","A","Cycle Inspection / Initial Inspection",12
"2965","40965048","UNCLE LOUIE G'S ITALIAN ICES & ICE CREAM","08/06/2018","A","Cycle Inspection / Initial Inspection",10
"2966","40965172","L'AILE OU LA CUISSE (L'A.O.C)","10/25/2018","A","Cycle Inspection / Initial Inspection",13
"2967","40965496","DUNKIN' DONUTS, BASKIN ROBBINS","06/06/2018","A","Cycle Inspection / Initial Inspection",6
"2968","40965997","BONSIGNOUR","02/01/2019","A","Cycle Inspection / Re-inspection",13
"2969","40966076","WELCOME TO THE JOHNSON'S","12/11/2018","A","Cycle Inspection / Initial Inspection",7
"2970","40966216","ALMOND","11/26/2018","A","Cycle Inspection / Re-inspection",9
"2971","40966222","ATERES AVROHOM","05/10/2018","A","Cycle Inspection / Initial Inspection",2
"2972","40966842","SUBWAY","04/11/2018","A","Cycle Inspection / Initial Inspection",5
"2973","40966966","MOONSTRUCK","01/09/2019","A","Cycle Inspection / Re-inspection",12
"2974","40967098","ANDREW & FRANK'S DELI","04/11/2019","A","Cycle Inspection / Initial Inspection",13
"2975","40967297","PRET A MANGER","04/15/2019","A","Cycle Inspection / Initial Inspection",9
"2976","40967336","THEATER CAFE","02/08/2018","A","Cycle Inspection / Initial Inspection",12
"2977","40967394","LOS CUENCANITOS","03/20/2018","A","Cycle Inspection / Initial Inspection",4
"2978","40968447","CARACAS AREPA /TO GO","07/24/2018","A","Cycle Inspection / Re-inspection",9
"2979","40968567","L. I. C. BAR","04/20/2018","A","Cycle Inspection / Initial Inspection",10
"2980","40969008","PIA'S PIZZERIA","04/20/2018","A","Cycle Inspection / Initial Inspection",5
"2981","40969077","BOSTON MARKET","02/01/2019","A","Cycle Inspection / Re-inspection",4
"2982","40969233","510 11ST BAR","11/21/2017","A","Cycle Inspection / Initial Inspection",11
"2983","40969326","LA GUARIDA BAR","05/30/2016","A","Cycle Inspection / Initial Inspection",10
"2984","40969350","STARBUCKS","02/20/2019","A","Cycle Inspection / Initial Inspection",9
"2985","40969600","EVO COCKTAIL LOUNGE & RESTAURANT","03/26/2019","A","Cycle Inspection / Initial Inspection",13
"2986","40969851","ANGELO & AL'S PIZZERIA","11/20/2018","A","Cycle Inspection / Initial Inspection",12
"2987","40970116","BAMBOO GARDEN CHINESE RESTAURANT","03/05/2019","A","Cycle Inspection / Re-inspection",9
"2988","40970385","SOFIA","03/14/2019","A","Cycle Inspection / Initial Inspection",5
"2989","40970790","PICO RICO","06/21/2018","A","Cycle Inspection / Initial Inspection",12
"2990","40970875","DUNKIN' DONUTS","01/07/2019","A","Cycle Inspection / Initial Inspection",9
"2991","40970904","MERRION SQUARE","04/11/2018","A","Cycle Inspection / Initial Inspection",13
"2992","40971149","OH TAISHO","06/13/2018","B","Cycle Inspection / Re-inspection",21
"2993","40971873","BREAK BAR & BILLARDS","02/27/2019","A","Cycle Inspection / Initial Inspection",7
"2994","40972083","GOLDEN KRUST CARIBBEAN BAKERY & GRILL","05/15/2018","A","Cycle Inspection / Initial Inspection",13
"2995","40972714","302 BAR","06/01/2018","A","Cycle Inspection / Initial Inspection",10
"2996","40972759","GATE WAY BEER GARDEN","05/01/2018","A","Cycle Inspection / Initial Inspection",10
"2997","40972873","STARBUCKS","05/07/2018","A","Cycle Inspection / Initial Inspection",2
"2998","40973003","THE PATRIOT SALOON","02/21/2019","A","Cycle Inspection / Initial Inspection",13
"2999","40973604","THE PIZZA PLACE","05/21/2018","A","Cycle Inspection / Initial Inspection",5
"3000","40973710","BAGEL TALK","12/28/2018","A","Cycle Inspection / Initial Inspection",12
"3001","40974031","CECI RESTAURANT","12/18/2018","A","Cycle Inspection / Initial Inspection",2
"3002","40974392","BAYOU","03/06/2019","A","Cycle Inspection / Initial Inspection",12
"3003","40974644","XO CREPERIE","05/01/2018","A","Cycle Inspection / Initial Inspection",7
"3004","40974766","CHIKALICIOUS DESSERT BAR","06/14/2018","A","Cycle Inspection / Initial Inspection",3
"3005","40975524","BARRIO CHINO","01/31/2018","A","Cycle Inspection / Initial Inspection",11
"3006","40975656","GOLDEN DYNASTY REST","12/13/2018","A","Cycle Inspection / Initial Inspection",13
"3007","40976304","ART BAR","10/29/2018","A","Cycle Inspection / Re-inspection",9
"3008","40976804","CHIPOTLE MEXICAN GRILL","12/17/2018","A","Cycle Inspection / Initial Inspection",3
"3009","40976973","EL PASILLO","04/20/2018","A","Cycle Inspection / Initial Inspection",12
"3010","40977209","WAVERLY RESTAURANT","02/26/2019","A","Cycle Inspection / Initial Inspection",13
"3011","40977390","THE JOHN J O'CONNOR RESIDENCE","04/30/2018","A","Cycle Inspection / Initial Inspection",9
"3012","40977437","LA CAVERNA","03/19/2019","A","Cycle Inspection / Initial Inspection",2
"3013","40977606","MIKE'S TAVERN","03/12/2018","A","Cycle Inspection / Initial Inspection",7
"3014","40977865","BOBBY VAN'S STEAKHOUSE","11/27/2018","A","Cycle Inspection / Re-inspection",8
"3015","40978159","CANDLE 79 RESTAURANT","12/13/2018","A","Cycle Inspection / Re-inspection",11
"3016","40978252","TALIA'S STEAKHOUSE","10/31/2018","A","Cycle Inspection / Initial Inspection",11
"3017","40978571","STARLITE LOUNGE","03/18/2019","A","Cycle Inspection / Initial Inspection",7
"3018","40978593","BONAO BAR AND GRILL","02/06/2019","A","Cycle Inspection / Re-inspection",10
"3019","40978782","BARLEY","12/05/2018","A","Cycle Inspection / Re-inspection",13
"3020","40978834","68 JAY STREET BAR","07/18/2018","A","Cycle Inspection / Re-inspection",7
"3021","40979119","DUNKIN'","03/19/2019","A","Cycle Inspection / Re-inspection",3
"3022","40979259","BAI SUSHI","04/10/2019","A","Cycle Inspection / Initial Inspection",8
"3023","40979519","MR. WEDGE","10/11/2018","A","Cycle Inspection / Re-inspection",9
"3024","40979620","JACK'S COFFEE","12/12/2018","A","Cycle Inspection / Initial Inspection",11
"3025","40979852","L'ITALIANO TRATTORIA","03/20/2019","A","Cycle Inspection / Initial Inspection",12
"3026","40980061","JOHN'S LUNCHEONETTE","02/01/2019","A","Cycle Inspection / Initial Inspection",3
"3027","40980062","TOKYO SUSHI JAPANESE RESTAURANT","04/09/2019","A","Cycle Inspection / Initial Inspection",12
"3028","40980328","CLEARVIEW PARK (GOLF COURSE)","05/10/2018","A","Cycle Inspection / Initial Inspection",12
"3029","40980377","LITTLE TONINO'S PIZZA & CAFE","07/26/2018","A","Cycle Inspection / Initial Inspection",8
"3030","40980389","THE GRAFTON PUBLIC HOUSE","03/21/2019","A","Cycle Inspection / Re-inspection",13
"3031","40980650","ISAAC'S COFFEE SHOP","03/28/2019","A","Cycle Inspection / Initial Inspection",11
"3032","40980922","BAYSIDE MARINA SNACK BAR","07/16/2018","A","Cycle Inspection / Initial Inspection",9
"3033","40981913","SEBA SEBA","05/18/2018","A","Cycle Inspection / Initial Inspection",10
"3034","40982663","STARBUCKS","05/15/2018","A","Cycle Inspection / Initial Inspection",8
"3035","40982677","STARBUCKS","11/09/2018","A","Cycle Inspection / Initial Inspection",5
"3036","40983620","AURORA","09/13/2018","A","Cycle Inspection / Initial Inspection",10
"3037","40983698","YUCA BAR & RESTAURANT","03/14/2019","A","Cycle Inspection / Initial Inspection",13
"3038","40983954","SWEET TREATS PASTRY SHOPPE","03/14/2019","A","Cycle Inspection / Initial Inspection",10
"3039","40984211","LONG ISLAND UNIVERSITY - BLACKBIRD CAFE","07/18/2018","A","Cycle Inspection / Initial Inspection",7
"3040","40984237","VIDA","03/06/2018","A","Cycle Inspection / Initial Inspection",10
"3041","40984264","DUNKIN' DONUTS","03/06/2019","A","Cycle Inspection / Re-inspection",5
"3042","40985219","O LAVRADOR RESTAURANT","08/29/2018","A","Cycle Inspection / Initial Inspection",13
"3043","40985809","NO. 1 CHINESE RESTAURANT","09/06/2018","A","Cycle Inspection / Initial Inspection",8
"3044","40985814","LORELEY RESTAURANT","08/23/2018","A","Cycle Inspection / Initial Inspection",13
"3045","40985913","STARBUCKS","08/09/2018","A","Cycle Inspection / Initial Inspection",13
"3046","40986189","LIEBMAN'S DELI","02/27/2019","A","Cycle Inspection / Initial Inspection",5
"3047","40986218","GREEN SYMPHONY","04/15/2019","A","Cycle Inspection / Initial Inspection",9
"3048","40986347","VESUVIOS PIZZA","01/15/2019","A","Cycle Inspection / Re-inspection",2
"3049","40986401","PAX","04/20/2018","A","Cycle Inspection / Initial Inspection",11
"3050","40986939","WASABI SUSHI","03/07/2018","A","Cycle Inspection / Initial Inspection",12
"3051","40987028","TONG'S CAFE","07/19/2018","A","Cycle Inspection / Initial Inspection",12
"3052","40987128","AMBROSIA","01/25/2019","A","Cycle Inspection / Initial Inspection",12
"3053","40987257","DELIZIA  RISTORANTE","08/02/2018","A","Cycle Inspection / Re-inspection",5
"3054","40987470","GROTTA AZZURRA","02/08/2019","A","Cycle Inspection / Initial Inspection",2
"3055","40987564","DUNKIN' DONUTS, BASKIN ROBBINS","10/18/2018","A","Cycle Inspection / Initial Inspection",7
"3056","40987572","DUNKIN' DONUTS, BASKIN ROBBINS","05/23/2018","A","Cycle Inspection / Initial Inspection",2
"3057","40987708","HALE & HEARTY SOUP","02/22/2019","A","Cycle Inspection / Initial Inspection",11
"3058","40988156","BIDDY'S PUB","11/20/2018","A","Cycle Inspection / Re-inspection",11
"3059","40988528","LA STRADA PIZZERIA RESTAURANT","04/19/2018","A","Cycle Inspection / Initial Inspection",4
"3060","40988630","REVISION","03/15/2019","A","Cycle Inspection / Initial Inspection",11
"3061","40988754","UNION BANK OF SWITZERLAND","08/07/2018","A","Cycle Inspection / Initial Inspection",2
"3062","40988793","UBS","01/17/2019","A","Cycle Inspection / Initial Inspection",2
"3063","40988969","LORETTA'S PIZZA","07/30/2018","A","Cycle Inspection / Initial Inspection",9
"3064","40989220","NHA TRANG ONE","02/11/2019","A","Cycle Inspection / Re-inspection",12
"3065","40989507","AMC THEATRES","06/05/2018","A","Cycle Inspection / Initial Inspection",12
"3066","40989787","NOLBU RESTAURANT","02/19/2019","A","Cycle Inspection / Initial Inspection",10
"3067","40990299","ELEGANT CHINESE RESTAURANT","01/15/2019","A","Cycle Inspection / Initial Inspection",10
"3068","40990997","WENDY'S","02/15/2019","A","Cycle Inspection / Initial Inspection",9
"3069","40991266","ITALIANISSIMO RISTORANTE","08/11/2017","A","Cycle Inspection / Initial Inspection",12
"3070","40991365","NAM SON RESTAURANT","01/18/2019","A","Cycle Inspection / Initial Inspection",7
"3071","40991382","COZY CORNER/CHICKEN LOVER","12/07/2018","A","Cycle Inspection / Re-inspection",11
"3072","40991543","BLUE JAVA COFFEE BAR - BUTLER LIBRARY","09/27/2018","A","Cycle Inspection / Initial Inspection",5
"3073","40991804","EL VALLE RESTAURANT","02/07/2019","A","Cycle Inspection / Initial Inspection",13
"3074","40991835","UNCLE JACK'S STEAKHOUSE","04/01/2019","A","Cycle Inspection / Initial Inspection",12
"3075","40992090","MCDONALD'S","02/25/2019","A","Cycle Inspection / Initial Inspection",8
"3076","40992170","B.A.M. CAFE/GREAT PERFORMANCES","02/10/2018","A","Cycle Inspection / Initial Inspection",7
"3077","40992205","JERUSALEM II PIZZA","01/25/2019","Z","Cycle Inspection / Reopening Inspection",3
"3078","40992677","BRIGHT STAR CHINESE FOOD","11/05/2018","A","Cycle Inspection / Re-inspection",10
"3079","40992678","DOMINIE'S HOEK","07/31/2018","A","Cycle Inspection / Initial Inspection",7
"3080","40993070","BASURERO","01/10/2019","A","Cycle Inspection / Re-inspection",13
"3081","40993101","SANT AMBROEUS","06/08/2018","A","Cycle Inspection / Initial Inspection",11
"3082","40993361","KNAPP PIZZA III","05/30/2018","A","Cycle Inspection / Initial Inspection",13
"3083","40993510","THE NEW SANTIAGO RESTAURANT","10/31/2018","A","Cycle Inspection / Initial Inspection",10
"3084","40993542","CAFE 28","11/26/2018","B","Cycle Inspection / Re-inspection",18
"3085","40993786","DUNKIN' DONUTS","03/19/2019","A","Cycle Inspection / Re-inspection",4
"3086","40993802","DUNKIN' DONUTS","02/19/2019","A","Cycle Inspection / Initial Inspection",7
"3087","40994221","MANGIA","05/30/2018","A","Cycle Inspection / Initial Inspection",13
"3088","40994615","APPLEBEE'S","01/24/2019","A","Cycle Inspection / Initial Inspection",7
"3089","40994739","LE PAIN QUOTIDIEN","09/14/2018","A","Cycle Inspection / Initial Inspection",3
"3090","40994918","KEY BAR","07/24/2018","B","Cycle Inspection / Re-inspection",15
"3091","40995004","SUBWAY","05/23/2018","A","Cycle Inspection / Initial Inspection",4
"3092","40995117","GOLDEN KRUST CARIBBEAN BAKERY & GRILL","03/25/2019","A","Cycle Inspection / Re-inspection",13
"3093","40995330","TACOS MEXICOS","04/04/2019","A","Cycle Inspection / Initial Inspection",4
"3094","40995404","EL GUANACO RESTAURANT & PUPUSERIA","05/02/2018","A","Cycle Inspection / Initial Inspection",13
"3095","40995536","TABOON","10/24/2018","A","Cycle Inspection / Re-inspection",13
"3096","40995563","LEGEND COOKHOUSE","02/19/2019","B","Cycle Inspection / Re-inspection",18
"3097","40995721","QUARTINO BOTTEGA ORGANICA","11/26/2018","A","Cycle Inspection / Re-inspection",10
"3098","40995737","FLAVORS CAFE","02/14/2019","A","Cycle Inspection / Initial Inspection",3
"3099","40996005","N & D PIZZA","02/12/2019","A","Cycle Inspection / Initial Inspection",12
"3100","40996223","THE FOUR FACED LIAR","03/19/2019","A","Cycle Inspection / Re-inspection",11
"3101","40996365","POPEYES CHICKEN & BISCUITS","12/26/2018","C","Cycle Inspection / Re-inspection",39
"3102","40996465","OXFORD BAKE SHOP","12/20/2018","A","Cycle Inspection / Initial Inspection",12
"3103","40996589","GENA'S GRILL","08/10/2018","A","Cycle Inspection / Initial Inspection",13
"3104","40996642","RECUERDOS MEXICANOS","07/17/2018","B","Cycle Inspection / Re-inspection",17
"3105","40996665","CELTIC GASTHAUS","09/25/2018","A","Cycle Inspection / Initial Inspection",5
"3106","40996669","MANNY'S BAKERY & RESTAURANT","03/04/2019","B","Cycle Inspection / Re-inspection",22
"3107","40996737","DON ALEX RESTAURANT","03/27/2019","Z","Cycle Inspection / Re-inspection",21
"3108","40997119","CITIGROUP CONFERENCE DINING","05/23/2018","A","Cycle Inspection / Initial Inspection",2
"3109","40997642","MIDTOWN RESTAURANT","04/09/2019","A","Cycle Inspection / Initial Inspection",12
"3110","40997838","CAFE METRO","04/27/2018","A","Cycle Inspection / Initial Inspection",11
"3111","40997858","GIMME COFFEE","07/27/2018","A","Cycle Inspection / Initial Inspection",5
"3112","40997900","MR WASABI","03/29/2018","A","Cycle Inspection / Initial Inspection",13
"3113","40997950","BAGATELLE","12/26/2017","A","Cycle Inspection / Re-inspection",12
