"","CAMIS","DBA","INSPECTION.DATE","GRADE","INSPECTION.TYPE","SCORE"
"57","40364681","TOWNE CAFE","04/03/2019","A","Cycle Inspection / Initial Inspection",9
"58","40364691","THE GEORGIAN SUITE KITCHEN","01/24/2019","A","Cycle Inspection / Initial Inspection",10
"59","40364715","OLD HOMESTEAD","09/12/2018","A","Cycle Inspection / Initial Inspection",13
"60","40364744","NEW PARK PIZZERIA & RESTAURANT","11/28/2018","A","Cycle Inspection / Initial Inspection",12
"61","40364858","DOUGLASTON CLUB","10/25/2018","A","Cycle Inspection / Initial Inspection",11
"62","40364920","RIZZO'S FINE PIZZA","01/26/2019","A","Cycle Inspection / Re-inspection",12
"63","40364956","THE NEW STARLING ATHLETIC CLUB OF THE BRONX","06/14/2018","A","Cycle Inspection / Initial Inspection",12
"64","40364958","WHITE HORSE TAVERN","11/19/2018","A","Cycle Inspection / Re-inspection",7
"65","40365013","CRYSTAL ROOM","05/10/2018","A","Cycle Inspection / Initial Inspection",5
"66","40365022","LABETTI'S POST # 2159","05/29/2018","A","Cycle Inspection / Initial Inspection",12
"67","40365043","SHELL LANES","04/10/2018","A","Cycle Inspection / Initial Inspection",8
"68","40365075","MCSORLEY'S OLD ALE HOUSE","07/19/2018","A","Cycle Inspection / Initial Inspection",7
"69","40365098","FORLINIS RESTAURANT","12/31/2018","A","Cycle Inspection / Re-inspection",10
"70","40365120","SOUTH SHORE SWIMMING CLUB","06/28/2018","A","Cycle Inspection / Initial Inspection",12
"71","40365166","CORNER BISTRO","12/26/2018","A","Cycle Inspection / Re-inspection",5
"72","40365226","NOSTRAND DONUT SHOP","08/10/2018","A","Cycle Inspection / Initial Inspection",12
"73","40365239","DORRIAN'S RED HAND RESTAURANT","11/08/2018","A","Cycle Inspection / Initial Inspection",11
"74","40365264","LA GRENOUILLE","02/15/2018","A","Cycle Inspection / Initial Inspection",12
"75","40365280","COMO PIZZA","02/21/2019","B","Cycle Inspection / Re-inspection",21
"76","40365288","KEATS RESTAURANT","07/16/2018","A","Cycle Inspection / Initial Inspection",10
"77","40365293","ANGELO OF MULBERRY ST.","01/23/2018","A","Cycle Inspection / Re-inspection",8
"78","40365348","PANCHITO'S","09/04/2018","B","Cycle Inspection / Re-inspection",18
"79","40365355","NEW CORNER","07/23/2018","A","Cycle Inspection / Initial Inspection",13
"80","40365361","THE PRINCETON CLUB","03/27/2018","A","Cycle Inspection / Initial Inspection",12
"81","40365387","ARTURO'S","11/19/2018","A","Cycle Inspection / Initial Inspection",9
"82","40365472","SPAIN RESTAURANT & BAR","09/27/2018","B","Cycle Inspection / Re-inspection",18
"83","40365499","YANKEE TAVERN","03/11/2019","Z","Cycle Inspection / Re-inspection",25
"84","40365525","DONUT PUB","08/10/2018","A","Cycle Inspection / Initial Inspection",12
"85","40365546","REBEN LUNCHEONETTE","10/15/2018","A","Cycle Inspection / Initial Inspection",9
"86","40365577","V & T RESTAURANT","02/20/2019","Z","Cycle Inspection / Re-inspection",22
"87","40365627","JAHN'S RESTAURANT","03/06/2019","A","Cycle Inspection / Initial Inspection",11
"88","40365632","J&V FAMOUS PIZZA","04/15/2019","A","Cycle Inspection / Initial Inspection",5
"89","40365644","JOE ALLEN RESTAURANT","06/25/2018","A","Cycle Inspection / Initial Inspection",13
"90","40365726","BARBETTA RESTAURANT","02/15/2017","A","Cycle Inspection / Initial Inspection",11
"91","40365784","GARGIULO'S RESTAURANT","12/13/2018","A","Cycle Inspection / Re-inspection",12
"92","40365789","PATSY'S ITALIAN RESTAURANT","01/14/2019","A","Cycle Inspection / Re-inspection",10
"93","40365841","PARKSIDE RESTAURANT","03/12/2018","A","Cycle Inspection / Initial Inspection",12
"94","40365844","LAVELLE'S ADMIRAL'S CLUB","11/07/2018","A","Cycle Inspection / Initial Inspection",7
"95","40365871","NEARY'S PUB","10/29/2018","A","Cycle Inspection / Initial Inspection",12
"96","40365882","NEW YORK PIZZA SUPREMA","12/18/2018","A","Cycle Inspection / Initial Inspection",12
"97","40365904","MEE SUM CAFE","03/15/2019","A","Cycle Inspection / Re-inspection",8
"98","40365938","NANCY'S RESTAURANT","09/11/2018","A","Cycle Inspection / Re-inspection",13
"99","40365942","HOP KEE RESTAURANT","06/01/2018","A","Cycle Inspection / Initial Inspection",11
"100","40365968","NANCY WHISKEY PUB","05/09/2018","A","Cycle Inspection / Initial Inspection",3
"101","40365972","BLARNEY BAR","04/26/2018","A","Cycle Inspection / Initial Inspection",11
"102","40366002","MARGHERITA PIZZA","02/27/2019","A","Cycle Inspection / Initial Inspection",9
"103","40366054","HEALY'S PUB","07/25/2018","A","Cycle Inspection / Initial Inspection",9
"104","40366109","FIFTH AVENUE BINGO","02/09/2018","A","Cycle Inspection / Initial Inspection",9
"105","40366132","DENINO'S PIZZERIA TAVERN","02/12/2019","A","Cycle Inspection / Initial Inspection",12
"106","40366154","MICHAEL'S RESTAURANT","08/14/2018","A","Cycle Inspection / Initial Inspection",10
"107","40366162","LENIHAN'S SALOON","09/10/2018","A","Cycle Inspection / Re-inspection",10
"108","40366222","KILLARNEY ROSE","09/10/2018","A","Cycle Inspection / Initial Inspection",9
"109","40366230","DON PEPPE","09/13/2018","A","Cycle Inspection / Initial Inspection",13
"110","40366356","BLARNEY CASTLE","04/25/2018","A","Cycle Inspection / Initial Inspection",13
"111","40366361","THREE STAR RESTAURANT","02/21/2019","A","Cycle Inspection / Initial Inspection",12
"112","40366381","DANGERFIELD'S NIGHT CLUB","05/09/2018","A","Cycle Inspection / Initial Inspection",11
"113","40366396","DESMOND'S TAVERN","01/29/2019","A","Cycle Inspection / Re-inspection",12
"114","40366425","NAOMI KOSHER PIZZA","02/11/2019","A","Cycle Inspection / Initial Inspection",12
"115","40366471","ROLL-N-ROASTER","02/27/2019","A","Cycle Inspection / Initial Inspection",12
"116","40366473","TIO PEPE","06/13/2018","A","Cycle Inspection / Initial Inspection",5
"117","40366487","BRENNAN & CARR","01/26/2019","A","Cycle Inspection / Initial Inspection",10
"118","40366497","THE PUNCH BOWL","02/07/2019","A","Cycle Inspection / Re-inspection",11
"119","40366543","JARDIN DE CHINA REST","12/18/2018","B","Cycle Inspection / Re-inspection",22
"120","40366549","IRISH COTTAGE","04/11/2018","A","Cycle Inspection / Initial Inspection",13
"121","40366574","BLARNEY STONE","02/15/2019","A","Cycle Inspection / Re-inspection",11
"122","40366586","SHIMONS KOSHER PIZZA","03/20/2018","A","Cycle Inspection / Initial Inspection",12
"123","40366652","FASCATI'S PIZZERIA","03/26/2019","A","Cycle Inspection / Re-inspection",8
"124","40366661","BABY BO'S CANTINA","05/23/2018","A","Cycle Inspection / Initial Inspection",12
"125","40366711","LI GRECI'S STAATEN RESTAURANT","11/28/2018","A","Cycle Inspection / Re-inspection",13
"126","40366716","SHUN LEE PALACE RESTAURANT","09/24/2018","A","Cycle Inspection / Initial Inspection",12
"127","40366742","TAMAQUA","11/07/2018","A","Cycle Inspection / Initial Inspection",13
"128","40366812","CARA MIA","03/29/2018","A","Cycle Inspection / Initial Inspection",12
"129","40366833","IHOP","10/15/2018","A","Cycle Inspection / Initial Inspection",12
"130","40366857","MALONEY'S BAR","01/29/2019","A","Cycle Inspection / Initial Inspection",7
"131","40366879","LA FUSTA RESTAURANT","11/23/2018","A","Cycle Inspection / Re-inspection",12
"132","40366928","RICHMOND COUNTY COUNTRY CLUB","02/08/2018","A","Cycle Inspection / Initial Inspection",13
"133","40366929","LITTLE BROWN JUG","04/28/2018","C","Cycle Inspection / Re-inspection",35
"134","40366938","LULU'S COFFEE SHOP","02/27/2019","C","Cycle Inspection / Re-inspection",58
"135","40366961","MITCHELL'S RESTAURANT","07/19/2018","A","Cycle Inspection / Initial Inspection",12
"136","40366993","FINNEGAN'S WAKE PUB","02/19/2019","A","Cycle Inspection / Initial Inspection",9
"137","40367005","DA VINCI PIZZA","12/04/2018","A","Cycle Inspection / Re-inspection",13
"138","40367038","MEXICO LINDO RESTAURANT","03/15/2018","A","Cycle Inspection / Initial Inspection",2
"139","40367161","MARINA DELRAY","08/11/2018","A","Cycle Inspection / Initial Inspection",13
"140","40367164","NEW FLORIDIAN DINER","12/03/2018","A","Cycle Inspection / Re-inspection",9
"141","40367179","TWINS PUB","01/04/2019","A","Cycle Inspection / Re-inspection",6
"142","40367183","NARROWS COFFEE SHOP","09/11/2018","A","Cycle Inspection / Initial Inspection",10
"143","40367189","BROOME STREET BAR","04/24/2018","A","Cycle Inspection / Initial Inspection",4
"144","40367232","O'HANLON'S PUB","12/19/2018","A","Cycle Inspection / Re-inspection",12
"145","40367240","CHARLIES SPORTS BAR","11/24/2018","A","Cycle Inspection / Re-inspection",8
"146","40367241","JG MELON RESTAURANT","01/29/2019","A","Cycle Inspection / Initial Inspection",13
"147","40367278","JACK'S PIZZA & PASTA","03/25/2019","A","Cycle Inspection / Initial Inspection",13
"148","40367338","TAP ROOM","01/09/2019","A","Cycle Inspection / Initial Inspection",12
"149","40367339","COCKTAIL ROOM (NYAC)","07/27/2017","A","Cycle Inspection / Initial Inspection",6
"150","40367365","FLAME RESTAURANT COFFEE HOUSE","05/24/2018","A","Cycle Inspection / Initial Inspection",12
"151","40367373","JACKSON HOLE","12/12/2018","A","Cycle Inspection / Initial Inspection",9
"152","40367377","ZUM STAMMTISCH","03/22/2018","A","Cycle Inspection / Initial Inspection",13
"153","40367442","BUDDY'S WONDER BAR","01/24/2018","A","Cycle Inspection / Initial Inspection",12
"154","40367481","THE ASSEMBLY BAR","07/12/2018","A","Cycle Inspection / Re-inspection",12
"155","40367534","MR BROADWAY KOSHER RESTAURANT","03/21/2019","A","Cycle Inspection / Re-inspection",13
"156","40367540","PICCOLA VENEZIA","11/28/2018","C","Cycle Inspection / Re-inspection",47
"157","40367570","NI-NI'S CAFE","03/02/2019",NA,"Cycle Inspection / Initial Inspection",6
"158","40367677","CAPITOL RESTAURANT","01/11/2019","A","Cycle Inspection / Initial Inspection",13
"159","40367715","LA BONNE SOUPE BISTRO","01/28/2019","A","Cycle Inspection / Re-inspection",10
"160","40367728","MIMIS RESTAURANT & BAR","10/01/2018","A","Cycle Inspection / Initial Inspection",7
"161","40367749","LENNY'S CLAM BAR","01/23/2019","A","Cycle Inspection / Re-inspection",6
"162","40367752","GRIFFIS FACULTY CLUB","11/27/2018","B","Cycle Inspection / Re-inspection",14
"163","40367766","GRAY'S PAPAYA","02/22/2019","A","Cycle Inspection / Initial Inspection",7
"164","40367789","DANI PIZZA AND RESTAURANT","07/26/2018","A","Cycle Inspection / Initial Inspection",12
"165","40367790","MCDONALD'S","06/12/2018","A","Cycle Inspection / Initial Inspection",9
"166","40367829","MCDONALD'S","01/11/2019","A","Cycle Inspection / Re-inspection",3
"167","40367841","CAFE FIORELLO","02/08/2019","A","Cycle Inspection / Initial Inspection",11
"168","40367860","LB SPUMONI GARDENS","11/13/2018","A","Cycle Inspection / Initial Inspection",11
"169","40367870","AMORE PIZZERIA & RESTAURANT","10/25/2018","A","Cycle Inspection / Re-inspection",7
"170","40367946","THE LARK'S NEST","07/24/2018","A","Cycle Inspection / Initial Inspection",9
"171","40368018","TERRACE CAFE","05/31/2018","A","Cycle Inspection / Initial Inspection",13
"172","40368021","ZOO BREWS-BRONX ZOO","05/30/2018","A","Cycle Inspection / Initial Inspection",2
"173","40368022","GRIZZLY GROUNDS","05/30/2018","A","Cycle Inspection / Initial Inspection",10
"174","40368025","THE PECKING ORDER","05/31/2018","A","Cycle Inspection / Initial Inspection",7
"175","40368026","AFRICAN MARKET (BABOON CAFE)","06/13/2018","A","Cycle Inspection / Initial Inspection",2
"176","40368034","ROADHOUSE RESTAURANT","10/04/2018","A","Cycle Inspection / Initial Inspection",9
"177","40368157","ELEPHANT & CASTLE","12/03/2018","A","Cycle Inspection / Initial Inspection",10
"178","40368207","MILL BASIN KOSHER DELI","05/22/2018","A","Cycle Inspection / Initial Inspection",8
"179","40368223","OYSTER BAR","10/09/2018","A","Cycle Inspection / Re-inspection",13
"180","40368271","CHERRY TAVERN","04/25/2018","A","Cycle Inspection / Re-inspection",13
"181","40368291","COLONNADE DINER","12/18/2018","B","Cycle Inspection / Re-inspection",19
