"","CAMIS","DBA","BUILDING","STREET","ADDRESS_Ext","lon","lat"
"2743",40927832,"SIP N CHAT COCKTAIL","2910","AVENUE D","2910,AVENUE D,New York, NY",-73.9492423,40.6407773
"2744",40927908,"TEDDY'S CAFE","805","ZEREGA AVENUE","805,ZEREGA AVENUE,New York, NY",-73.8432158,40.8244097
"2745",40928096,"SISTER'S UPTOWN BOOKSTORE","1942","AMSTERDAM AVENUE","1942,AMSTERDAM AVENUE,New York, NY",-73.9426322,40.8324796
"2746",40928150,"TONY'S DI NAPOLI","147","WEST 43RD STREET","147,WEST 43RD STREET,New York, NY",-73.9854417,40.7564899
"2747",40928416,"JOY INDIAN RESTAURANT","301","FLATBUSH AVENUE","301,FLATBUSH AVENUE,New York, NY",-73.9733622,40.6788544
"2748",40928483,"RICE TO RICHES","37","SPRING STREET","37,SPRING STREET,New York, NY",-73.9957434,40.7219482
"2749",40928698,"THALASSA","179","FRANKLIN STREET","179,FRANKLIN STREET,New York, NY",-74.0095619,40.7191955
"2750",40928775,"CAPITALE","130","BOWERY","130,BOWERY,New York, NY",-73.9949422,40.7188561
"2751",40928943,"BAKU PALACE","2001","EMMONS AVENUE","2001,EMMONS AVENUE,New York, NY",-73.9482435,40.5841667
"2752",40928949,"PARA TI COLOMBIA CON SABOR","17235","HILLSIDE AVENUE","17235,HILLSIDE AVENUE,New York, NY",-73.7891758,40.7123377
"2753",40928956,"HALE & HEARTY SOUP","30","ROCKEFELLER PLAZA","30,ROCKEFELLER PLAZA,New York, NY",-73.9799726,40.7593755
"2754",40928958,"HALE & HEARTY SOUP","55","GRAND CENTRAL TERMINAL","55,GRAND CENTRAL TERMINAL,New York, NY",-73.9776563,40.7529358
"2755",40929097,"PIANOS","158","LUDLOW STREET","158,LUDLOW STREET,New York, NY",-73.9877377,40.7210244
"2756",40929114,"NEW HONG KONG KITCHEN","5226","CHURCH AVENUE","5226,CHURCH AVENUE,New York, NY",-73.9277011,40.6521334
"2757",40929169,"HOTEL PENNSYLVANIA","401","7 AVENUE","401,7 AVENUE,New York, NY",-73.9910404,40.7499043
"2758",40929429,"ARBY'S","17514","HORACE HARDING EXPRESSWAY","17514,HORACE HARDING EXPRESSWAY,New York, NY",-73.7936107,40.738502
"2759",40929938,"RENAISSANCE","2734","21 STREET","2734,21 STREET,New York, NY",-73.926917,40.771502
"2760",40930101,"THE ODEON","145","WEST BROADWAY","145,WEST BROADWAY,New York, NY",-74.0077773,40.71694
"2761",40930209,"PARKSIDE LOUNGE","317","EAST HOUSTON STREET","317,EAST HOUSTON STREET,New York, NY",-73.9832555,40.7209875
"2762",40930516,"RAVAGH PERSIAN GRILL","11","EAST   30 STREET","11,EAST   30 STREET,New York, NY",-73.9854547,40.7457155
"2763",40930657,"OLIVE GARDEN","505","GATEWAY DRIVE","505,GATEWAY DRIVE,New York, NY",-73.8693345,40.6515063
"2764",40930674,"NICK'S RESTAURANT PIZZERIA","1814","2 AVENUE","1814,2 AVENUE,New York, NY",-73.9478073,40.7827162
"2765",40930976,"SUBWAY","6979","GRAND AVENUE","6979,GRAND AVENUE,New York, NY",-73.8931456,40.7275569
"2766",40931239,"PIO PIO EXPRESS","1746","1 AVENUE","1746,1 AVENUE,New York, NY",-73.9470266,40.7795965
"2767",40931258,"P.J. CLARKE'S","915","3 AVENUE","915,3 AVENUE,New York, NY",-73.9681925,40.7589726
"2768",40931302,"POPEYES LOUISIANA KITCHEN","2195","GRAND CONCOURSE","2195,GRAND CONCOURSE,New York, NY",-73.901431,40.855905
"2769",40931477,"EUROPA CAFE","515","MADISON AVENUE","515,MADISON AVENUE,New York, NY",-73.9737557,40.7597893
"2770",40931569,"JOE'S PIZZA","703","EAST  233 STREET","703,EAST  233 STREET,New York, NY",-73.8570221,40.8934879
"2771",40931583,"CONNECTICUT MUFFIN","423","MYRTLE AVENUE","423,MYRTLE AVENUE,New York, NY",-73.9686545,40.6932676
"2772",40931625,"COSI","498","7 AVENUE","498,7 AVENUE,New York, NY",-73.989662,40.7527648
"2773",40931855,"FADA","530","DRIGGS AVENUE","530,DRIGGS AVENUE,New York, NY",-73.9561181,40.7176039
